종목명,종목코드,시장,섹터코드,섹터명,기존섹터코드,기존섹터명,분류근거,매칭방식,검토신뢰도,추가검토필요
모티브링크,463480,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
미래나노텍,095500,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
미래반도체,254490,KOSDAQ,S01,반도체·디스플레이·전자,S01,반도체·디스플레이·전자,자동 패턴 매칭,키워드,높음,False
미코,059090,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
베셀,177350,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
블루콤,033560,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
비덴트,121800,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
비씨엔씨,146320,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
비아트론,141000,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
빅솔론,093190,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
빛과전자,069540,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
빛샘전자,072950,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
사피엔반도체,452430,KOSDAQ,S01,반도체·디스플레이·전자,S01,반도체·디스플레이·전자,자동 패턴 매칭,키워드,높음,False
삼양엔씨켐,482630,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
삼영에스앤씨,361670,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
삼지전자,037460,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
삼진엘앤디,054090,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
상신전자,263810,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
새로닉스,042600,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
샘씨엔에스,252990,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
서울반도체,046890,KOSDAQ,S01,반도체·디스플레이·전자,S01,반도체·디스플레이·전자,자동 패턴 매칭,키워드,높음,False
서울전자통신,027040,KOSDAQ,S01,반도체·디스플레이·전자,S12,통신·네트워크·인프라,자동 패턴 매칭,키워드,높음,False
성도이엔지,037350,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
성우전자,081580,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
성우테크론,045300,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
성호전자,043260,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
세경하이테크,148150,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
세미파이브,490470,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
세진티에스,067770,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
센코,347000,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
소룩스,290690,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,분류보류→수동보정,AI+수동검토,낮음,True
솔디펜스,215090,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
솔브레인,357780,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
솔브레인홀딩스,036830,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
시그네틱스,033170,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
시노펙스,025320,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
시스웍,269620,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
시지트로닉스,429270,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
신도기연,290520,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
신화인터텍,056700,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
신화콘텍,187270,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
심텍,222800,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
싸이맥스,160980,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
쏘닉스,088280,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
쓰리에이로직스,177900,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
씨엔플러스,115530,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
씨엠티엑스,388210,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
씨유테크,376290,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아나패스,123860,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아모그린텍,125210,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아모센스,357580,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아모텍,052710,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아바코,083930,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아바텍,149950,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아비코전자,036010,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
아이디스,143160,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아이디피,332370,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
아이씨디,040910,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아이씨티케이,456010,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아이언디바이스,464500,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아이에스티이,212710,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아이에이,038880,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아이엘,307180,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,분류보류→수동보정,AI+수동검토,낮음,True
아이컴포넌트,059100,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아이텍,119830,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
아이티엠반도체,084850,KOSDAQ,S01,반도체·디스플레이·전자,S01,반도체·디스플레이·전자,자동 패턴 매칭,키워드,높음,False
아진엑스텍,059120,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
알에스오토메이션,140670,KOSDAQ,S01,반도체·디스플레이·전자,S03,금융·보험·투자,주요제품·사업 키워드,AI+수동검토,높음,True
알에프세미,096610,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
알엔티엑스,123010,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
알파칩스,117670,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
액트로,290740,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
앱코,129890,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
야스,255440,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
어보브반도체,102120,KOSDAQ,S01,반도체·디스플레이·전자,S01,반도체·디스플레이·전자,자동 패턴 매칭,키워드,높음,False
얼라인드,238120,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에스앤에스텍,101490,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
에스에이티,060540,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에스켐,475660,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에스텍,069510,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
에스티큐브,052020,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에이루트,096690,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
에이엘티,172670,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에이직랜드,445090,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에이치엔에스하이텍,044990,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에이치엠넥스,036170,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에이텀,355690,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에이팩트,200470,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에프에스티,036810,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
에프엔에스테크,083500,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엑스페릭스,317770,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엑시콘,092870,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엔시트론,101400,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엔투텍,227950,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엘디티,096870,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엘엠에스,073110,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엘오티베큠,083310,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엘컴텍,037950,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엘케이켐,489500,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엘티씨,170920,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엠디바이스,226590,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엠엑스온,347890,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
엠케이전자,033160,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
엠투엔,033310,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
영우디에스피,143540,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
예스티,122640,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
오디텍,080520,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
오킨스전자,080580,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
옵트론텍,082210,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
옵티코어,380540,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,한국거래소 공식 업종,AI+수동검토,높음,True
와이솔,122990,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
와이씨,232140,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
와이씨켐,112290,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
와이엠씨,155650,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
와이엠티,251370,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
와이제이링크,209640,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
우리로,046970,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
우리이앤엘하루틴,153490,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
우주일렉트로,065680,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
원익IPS,240810,KOSDAQ,S01,반도체·디스플레이·전자,S01,반도체·디스플레이·전자,주요제품·사업 키워드,AI+수동검토,높음,True
원익QnC,074600,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
월덱스,101160,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
웨이비스,289930,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
웰킵스하이텍,043590,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
위드텍,348350,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
위지트,036090,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
위츠,459100,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
윈팩,097800,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
유니셈,036200,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
유니테스트,086390,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,자동 패턴 매칭,키워드,높음,False
유아이디,069330,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
유아이엘,049520,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
유티아이,179900,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
육일씨엔에쓰,191410,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
이랜시스,264850,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
이랜텍,054210,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
이미지스,115610,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
이엘씨,041520,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
이엘피,063760,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
이엠텍,091120,KOSDAQ,S01,반도체·디스플레이·전자,S99,기타,주요제품·사업 키워드,AI+수동검토,높음,True
이오테크닉스,039030,KOSDAQ,S01,반도체·디스플레이·전자,S01,반도체·디스플레이·전자,자동 패턴 매칭,키워드,높음,False
